party_id,date,manifesto_id,md5sum_text,title
51421,199705,51421_199705,bf901e9dbd22b35fd9689eb0f7e1ea31,Make the Difference
51902,199705,51902_199705,68faa2ac5755a99d214e7d9d046d6231,Yes we can win the best for Scotland
51902,200106,51902_200106,14573dd554cf3cf76fbe099acea64ef1,Heart of the manifesto 2001
51110,201505,51110_201505,b1b9a6d374adc44fc72a57b1a3e6e07c,For the common good. General election manifesto 2015
51210,201505,51210_201505,23a946ebae3b9f0bdb19acf395f2f9bb,Equality not austerity Comhionannas ní déine. Sinn Féin 2015 Westminster election manifesto
51320,201505,51320_201505,38c90bf61726c2141c90fe35b18669d1,Britain can be better. The Labour Party Manifesto 2015
51340,201505,51340_201505,b3bc630ddae0e2c74e4e091c3562852a,Prosperity not austerity. SDLP Westminster Manifesto 2015
51421,201505,51421_201505,af983ff46e6e14fd48ae9209c232129c,Manifesto 2015. Stronger Economy. Fairer Society. Opportunity for Everyone.
51620,201505,51620_201505,cf942c46b8848beb6345d371e3ec66b1,"Strong leadership. A clear economic plan. A brighter, more secure future. The Conservative Party Manifesto 2015"
51621,201505,51621_201505,5c89581d17bcdf189ee032743d5a6116,"One day, one vote, one chance for change. Westminster Manifesto 2015"
51901,201505,51901_201505,053f4370c24ea424be913af02a9eb945,Working for Wales. 2015 Westminster Election Manifesto
51902,201505,51902_201505,49ad9074958e17210a75428ad3c87375,Stronger for Scotland. SNP Manifesto 2015
51903,201505,51903_201505,d29892b2240a16502759de8954d5f294,The Northern Ireland Plan
51951,201505,51951_201505,a28e59e08e0cf7ea68be11fe84862489,Believe in Britain. UKIP Manifesto 2015
53110,200705,53110_200705,98363fb8628c15f2c5358e990b50ccab,Manifesto 2007 - it's time.
53320,200705,53320_200705,b2f12fdd392290994217b2cd3e0de902,The fair society - Labour manifesto 2007
53420,200705,53420_200705,bd1bfb79fc70cd0161ff44f8f82e764c,From good to great - continuing Ireland's radical transformation
53520,200705,53520_200705,53f3af370eae585fbee311e44922035a,General election manifesto 2007
53620,200705,53620_200705,c40c434b9fc04c27a61326ebe5cf7bf2,"Now, the next steps"
53951,200705,53951_200705,754af42bdc244a5928b3180fdc91cf42,Others promise - we deliver
